title,subject,actual_price,actual,own_price_bin,own,meta
Calvary,PI,850,0,1,0,0.35
RED CHANGER,PI,9100,0,0,0,0.3
Samurai,PI,85,0,1,0,0.3
Standing Male Nude in the Shower,PI,1160000,1,2,1,0.4
Folly,PI,1200,0,2,1,0.5
a place,PI,60,0,1,0,0.35
Nude Aqua,PI,70,0,2,1,0.6
Bruce Bernard,PI,119556,1,2,1,0.5
Yellow spin,PI,6000,0,1,0,0.55
The still life with the flowers,PI,650,0,2,1,0.4
dance in the living room,PI,8000,0,1,0,0.5
Birdie View II,PI,1625,0,2,1,0.55
Rhythmic Structure,PI,4500,0,1,0,0.35
Dilusion,PI,750,0,0,0,0.2
On The Couch,watermelon,700,0,1,0,0.05
conversation with spoonbill,watermelon,50,0,0,0,0
Nu debout,watermelon,689600,1,0,0,0
ramana,watermelon,9600,0,1,0,0
Captives,watermelon,779200,1,1,0,0.05
Intruder,watermelon,20,0,2,1,0.5
Midsummer Night,watermelon,650,0,1,0,0.15
Waiting for the rain,watermelon,100,0,1,0,0.2
Flor,watermelon,800,0,1,0,0
Red Irises,watermelon,2500,0,2,1,0.05
celestial,watermelon,1900,0,0,0,0
Amazing land,watermelon,89,0,0,0,0.05
Lotus Rising,watermelon,14400,0,1,0,0.03
Mandala No3,watermelon,1500,0,0,0,0
Quality Material,watermelon,4408000,1,2,1,0.6
It is my thing this Evening,watermelon,4500,0,2,1,0.4
Untitled - P137,watermelon,1810276,1,1,0,0.1
Canada Two Toronto,watermelon,8550,0,0,0,0
Night,watermelon,1384000,1,1,0,0.1
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",watermelon,240000,1,0,0,0
Head and Bottle,watermelon,6536000,1,1,0,0.05
